feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t113	-0.162	1.38	0.553	0.867	1.035	-0.14	-1.806	-0.798	-0.476	-1.903	0.724	-1.064	-0.265	-0.946	0.742	-0.751	-1.202	0.743	-1.213	0.504	1.343	-0.194	1.152	-0.502	0.901	1.499	0.481	-0.138	-1.155	0.785
t20	-0.586	1.254	1.026	1.131	1.038	0.039	-1.077	-1.317	-0.336	-1.995	0.726	-1.674	-0.605	-1.092	0.857	-0.73	-1.534	0.643	-1.288	0.265	1.248	-0.275	1.437	-0.176	0.883	1.543	0.824	-0.166	-0.938	0.865
t110	0.065	1.567	0.436	0.917	0.813	-0.282	-1.477	-1.845	-0.18	-2.203	0.682	-1.62	0.107	-0.284	0.551	-0.646	-1.033	1.061	-1.218	0.519	1.718	-0.272	0.978	-0.514	1.041	1.433	0.569	-0.122	-1.498	0.732
t149	-0.09	0.645	0.523	0.891	1.668	-0.059	-1.902	0.979	-1.234	-1.934	0.632	-0.25	-0.821	-1.086	0.907	-0.92	-1.415	0.064	-1.331	0.777	-0.06	-0.352	1.228	0.246	1.037	1.561	0.125	-0.234	-0.416	0.811
t159	-0.154	1.346	0.17	0.812	1.282	-0.2	-2.037	0.249	-0.78	-1.914	0.682	-0.725	-0.364	-0.827	0.696	-0.446	-1.402	0.469	-1.608	0.603	0.855	-0.321	1.304	0.387	0.814	1.491	0.28	-0.202	-1.18	0.712
t83	-0.249	1.312	0.879	1.185	1.058	0.027	-1.312	-2.08	-0.229	-2.25	0.769	-1.503	-0.469	-1.161	0.886	-0.922	-1.401	0.995	-1.277	0.265	1.569	-0.277	1.353	-0.345	0.731	1.642	0.928	-0.178	-0.88	0.928
t59	-0.015	1.259	0.636	1.21	1.052	-0.131	-1.505	-2.104	-0.397	-2.164	0.712	-1.781	-0.352	-0.436	0.702	-0.654	-1.388	0.916	-1.44	0.522	1.375	-0.317	1.379	0.035	1.047	1.539	0.911	-0.171	-1.275	0.829
t28	0.639	1.075	0.204	0.86	1.828	-0.254	-2.375	-0.886	-0.95	-1.881	0.67	-0.953	-0.616	0.149	0.778	-0.709	-1.418	0.707	-1.285	0.894	0.511	-0.263	1.236	-0.243	1.245	1.459	0.373	-0.179	-1.351	0.727
t143	-0.036	1.261	0.583	0.894	1.456	-0.135	-1.579	-1.346	-0.531	-1.599	0.705	-1.212	-0.746	-0.846	0.887	-1.137	-1.322	0.683	-0.968	0.604	1.087	-0.166	1.251	0.005	1.061	1.469	0.413	-0.224	-1.285	0.767
t36	0.008	1.015	0.978	1.145	1.302	-0.025	-1.731	-0.931	-0.597	-2.117	0.712	-1.513	-0.857	-0.915	0.92	-0.683	-1.368	0.584	-1.363	0.725	0.773	-0.341	1.358	-0.287	0.926	1.606	0.765	-0.173	-0.836	0.914
t22	-0.099	1.291	0.556	0.998	1.038	-0.163	-1.429	-1.581	-0.438	-2.029	0.69	-1.512	-0.464	-0.539	0.694	-0.598	-1.402	0.852	-1.413	0.604	1.27	-0.307	1.367	0.182	1	1.473	0.704	-0.188	-1.333	0.767
t58	-0.039	1.246	0.376	0.974	1.305	-0.063	-1.516	-1.555	-0.513	-1.858	0.701	-1.23	-0.433	-0.795	0.775	-0.77	-1.56	0.83	-1.37	0.336	1.25	-0.256	1.445	0.293	0.957	1.499	0.614	-0.209	-1.208	0.766
t35	-0.244	0.901	1.004	1.212	1.562	0.155	-1.72	-0.998	-0.743	-1.965	0.666	-1.477	-0.772	-1.516	1.02	-0.791	-1.713	0.438	-1.361	0.556	0.623	-0.293	1.607	0.283	1.013	1.608	0.792	-0.234	-0.512	0.894
t68	-0.043	1.323	0.38	1.024	1.067	-0.091	-1.845	-0.711	-0.501	-2.338	0.722	-1.111	-0.307	-0.804	0.701	-0.524	-1.39	0.837	-1.6	0.248	1.318	-0.355	1.342	-0.03	0.777	1.561	0.766	-0.163	-1.076	0.817
t52	-0.201	1.093	0.534	1.07	1.217	-0.03	-1.392	-0.436	-0.625	-2.305	0.73	-0.771	-0.829	-1.275	0.864	-0.727	-1.539	0.616	-1.742	0.314	0.814	-0.45	1.513	0.827	0.587	1.636	0.706	-0.272	-0.809	0.874
t121	-0.184	1.381	1.237	1.236	0.952	-0.04	-1.395	-2.692	-0.057	-2.339	0.736	-2.197	-0.442	-1.011	0.832	-0.772	-1.293	1.151	-1.148	0.511	1.853	-0.261	1.279	-0.801	1.09	1.583	1.101	-0.126	-1.126	0.931
t18	0.16	0.987	0.715	1.111	1.205	-0.064	-1.671	-1.077	-0.564	-2.421	0.713	-1.186	-1.088	-1.045	0.932	-0.664	-1.343	0.759	-1.634	0.767	0.69	-0.475	1.489	0.736	0.677	1.661	0.835	-0.293	-0.845	0.925
t4	0.113	1.173	0.097	0.947	1.607	-0.06	-1.987	-1.487	-0.791	-1.87	0.7	-0.796	-0.478	-0.737	0.789	-0.877	-1.729	0.91	-1.387	0.292	1.225	-0.209	1.542	0.462	1.105	1.497	0.642	-0.223	-1.207	0.732
t73	-0.323	1.138	0.815	1.09	1.225	0.034	-1.638	-1.029	-0.615	-2.037	0.738	-1.154	-0.523	-1.186	0.848	-0.674	-1.626	0.686	-1.42	0.274	1.205	-0.247	1.465	-0.282	0.995	1.575	0.792	-0.136	-0.862	0.867
t100	0.147	1.243	0.561	0.849	1.137	-0.272	-2.267	-1.291	-0.597	-2.19	0.604	-1.565	-0.107	-0.152	0.636	-0.542	-1.059	0.921	-1.056	1.036	1.164	-0.228	1.005	-0.669	1.462	1.402	0.509	-0.13	-1.27	0.712
t43	-0.494	1.15	0.651	1.1	1.213	-0.024	-1.323	-0.763	-0.602	-2.068	0.68	-1.371	-0.747	-1.091	0.802	-0.502	-1.748	0.618	-1.718	0.439	0.986	-0.397	1.64	0.868	0.869	1.539	0.753	-0.238	-1.02	0.79
t26	-0.395	0.966	0.595	0.871	1.447	-0.109	-1.874	0.74	-1.002	-2.085	0.63	-0.694	-0.724	-0.981	0.817	-0.518	-1.555	0.294	-1.542	0.765	0.337	-0.379	1.356	0.383	1.019	1.507	0.315	-0.217	-0.741	0.755
t181	0.083	1.116	0.245	0.967	1.195	-0.194	-1.33	-0.995	-0.555	-2.417	0.662	-0.899	-0.885	-0.805	0.774	-0.724	-1.438	0.845	-1.703	0.588	0.839	-0.516	1.46	1.511	0.733	1.554	0.587	-0.345	-1.138	0.776
t139	0.068	1.421	0.587	1.067	1.145	-0.148	-1.552	-1.418	-0.331	-2.159	0.707	-1.604	-0.312	-0.577	0.732	-0.78	-1.224	0.851	-1.27	0.542	1.398	-0.307	1.142	-0.473	0.814	1.529	0.659	-0.147	-1.18	0.811
t27	-0.128	0.959	0.443	1.243	1.386	-0.059	-1.124	-0.655	-0.658	-2.347	0.711	-0.831	-1.326	-1.403	0.949	-1.176	-1.501	0.634	-1.81	0.514	0.669	-0.557	1.601	1.88	0.422	1.689	0.786	-0.404	-0.816	0.881
t122	0.307	1.144	0.459	0.843	1.474	-0.141	-2.13	-0.838	-0.656	-2.048	0.667	-0.976	-0.469	-0.674	0.83	-0.998	-1.158	0.79	-0.961	0.673	1.028	-0.219	1.047	-0.624	1.111	1.499	0.391	-0.171	-0.992	0.787
t82	0.198	1.294	0.089	0.811	1.174	-0.283	-1.99	-0.62	-0.622	-2.384	0.658	-0.88	-0.29	-0.312	0.616	-0.42	-1.263	0.901	-1.666	0.637	0.925	-0.422	1.256	0.527	0.934	1.479	0.509	-0.243	-1.339	0.719
t197	-0.09	0.907	0.562	0.974	1.448	-0.064	-1.639	-0.614	-0.816	-2.042	0.668	-0.73	-0.615	-0.998	0.858	-1.032	-1.426	0.58	-1.235	0.485	0.724	-0.289	1.271	0.196	1.119	1.541	0.446	-0.224	-0.771	0.809
