"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.25,0.05,0.4,0.2,0.2,"Decaying",1e-04,0.400861523046092,0.243898702273864,0.41997434581377,-0.580025654186231,"Low (0-0.25)"
0.3,0.05,0.4,0.166666666666667,0.25,"Decaying",0.0321609218436874,0.368800601202405,0.32988785796251,0.30045588566544,-0.69954411433456,"Low (0-0.25)"
0.35,0.05,0.4,0.142857142857143,0.3,"Decaying",0.0441837675350701,0.336739679358717,0.422513289474533,0.204657151812541,-0.795342848187459,"Low (0-0.25)"
0.4,0.05,0.4,0.125,0.35,"Decaying",0.0481913827655311,0.306682565130261,0.516895297762844,0.134663781030625,-0.865336218969375,"Low (0-0.25)"
0.45,0.05,0.4,0.111111111111111,0.4,"Decaying",0.0501951903807615,0.278629258517034,0.609883994489079,0.0865266896437493,-0.913473310356251,"Low (0-0.25)"
0.5,0.05,0.4,0.1,0.45,"Decaying",0.0501951903807615,0.254583567134269,0.699671634345783,0.0547065984074052,-0.945293401592595,"Low (0-0.25)"
0.1,0.1,0.4,1,0,"Decaying",1e-04,0.416891983967936,0.19575428703121,0.51024489877551,-0.48975510122449,"High (0.75-1)"
0.15,0.1,0.4,0.666666666666667,0.05,"Decaying",1e-04,0.418895791583166,0.18853015471191,0.521298817159185,-0.478701182840815,"Med-High (0.5-0.75)"
0.2,0.1,0.4,0.5,0.1,"Decaying",1e-04,0.410880561122245,0.208881858405723,0.482092416069416,-0.517907583930584,"Med-Low (0.25-0.5)"
0.25,0.1,0.4,0.4,0.15,"Decaying",1e-04,0.39284629258517,0.2543546282666,0.406342943564179,-0.593657056435821,"Med-Low (0.25-0.5)"
0.3,0.1,0.4,0.333333333333333,0.2,"Decaying",1e-04,0.368800601202405,0.319487915008206,0.316296812650571,-0.683703187349429,"Med-Low (0.25-0.5)"
0.35,0.1,0.4,0.285714285714286,0.25,"Decaying",1e-04,0.342751102204409,0.397700050191617,0.231000667311366,-0.768999332688634,"Med-Low (0.25-0.5)"
0.4,0.1,0.4,0.25,0.3,"Decaying",1e-04,0.314697795591182,0.483051987186539,0.160727384987185,-0.839272615012815,"Low (0-0.25)"
0.45,0.1,0.4,0.222222222222222,0.35,"Decaying",1e-04,0.286644488977956,0.571016347111669,0.107929328749749,-0.892070671250251,"Low (0-0.25)"
0.5,0.1,0.4,0.2,0.4,"Decaying",1e-04,0.26259879759519,0.658529173138227,0.0706508276791975,-0.929349172320803,"Low (0-0.25)"
0.15,0.15,0.4,1,0,"Decaying",1e-04,0.384831062124249,0.27467945682101,0.39067187640625,-0.60932812359375,"High (0.75-1)"
0.2,0.15,0.4,0.75,0.05,"Decaying",1e-04,0.386834869739479,0.268518081988037,0.397014386189428,-0.602985613810572,"High (0.75-1)"
0.25,0.15,0.4,0.6,0.1,"Decaying",1e-04,0.378819639278557,0.287138652148994,0.367916230955018,-0.632083769044982,"Med-High (0.5-0.75)"
0.3,0.15,0.4,0.5,0.15,"Decaying",1e-04,0.364792985971944,0.328385440106004,0.312801221290459,-0.687198778709541,"Med-High (0.5-0.75)"
0.35,0.15,0.4,0.428571428571429,0.2,"Decaying",1e-04,0.342751102204409,0.387777728523315,0.246761659299904,-0.753238340700096,"Med-Low (0.25-0.5)"
0.4,0.15,0.4,0.375,0.25,"Decaying",1e-04,0.318705410821643,0.459770880098617,0.183116464911803,-0.816883535088197,"Med-Low (0.25-0.5)"
