Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Buteo_lagopus	0.251	0.002	0.025	0.135	0	0.414	0.003	0.068	0	0.01	0.005	0.073	0.015	0.001
Haliastur_indus	0.084	0	0.007	0.527	0	0.025	0.066	0.001	0	0.009	0.269	0.002	0.005	0.004
Hieraaetus_wahlbergi	0.168	0.002	0.002	0.589	0	0.025	0	0.003	0.013	0.187	0	0.011	0	0
Necrosyrtes_monachus	0.001	0	0.024	0.48	0	0.015	0	0.001	0	0.473	0.003	0	0.003	0
Coragyps_atratus	0	0.01	0	0.237	0.001	0.022	0.629	0	0.071	0.029	0	0	0	0
Sarcoramphus_papa	0	0.086	0	0.264	0.002	0.003	0.591	0.003	0	0.051	0	0	0	0
Rhyticeros_undulatus	0.01	0.001	0.212	0.001	0	0.295	0	0.015	0	0.051	0.011	0.374	0.031	0
Aceros_corrugatus	0.004	0	0.003	0.926	0	0.056	0	0.001	0	0.009	0	0	0.001	0
Tockus_nasutus	0.389	0.012	0.068	0.131	0	0.127	0	0.023	0	0.205	0	0.017	0.028	0
Tockus_deckeni	0.025	0.181	0.009	0.411	0.02	0.328	0.011	0.003	0	0.009	0	0.002	0.002	0
Buceros_hydrocorax	0	0	0	0.003	0	0.994	0	0	0	0.001	0	0.001	0	0
Todiramphus_cinnamominus	0.16	0.001	0.107	0.202	0.017	0.094	0.001	0.104	0	0.003	0	0.299	0.011	0
Halcyon_coromanda	0.137	0	0.003	0.548	0	0.002	0	0	0.276	0.001	0	0	0.033	0
Dacelo_novaeguineae	0.077	0.002	0.291	0.048	0	0.051	0.035	0.043	0	0.037	0.038	0.055	0.322	0
Halcyon_malimbica	0.081	0.001	0.057	0.012	0.005	0.832	0	0.003	0	0.001	0	0.006	0.002	0
Chloroceryle_aenea	0.01	0.003	0	0.161	0	0.188	0.385	0	0	0.241	0.001	0.001	0.009	0
Ceyx_erithaca	0.038	0.025	0.019	0.561	0.001	0.013	0.03	0.006	0.002	0.286	0.001	0.005	0.01	0.002
Ceyx_pictus	0.052	0	0.121	0.021	0	0.037	0.003	0.027	0	0.159	0.001	0.332	0.014	0.231
Merops_apiaster	0.062	0.418	0.016	0.267	0.008	0.005	0.005	0.028	0.082	0.011	0	0.06	0.03	0.01
Merops_boehmi	0.084	0.014	0.009	0.057	0.007	0.455	0	0.046	0	0.094	0	0.159	0.075	0
Merops_pusillus	0.089	0.171	0.002	0.129	0.004	0.047	0.073	0.066	0.012	0.063	0	0.036	0	0.306
Ramphastos_toco	0.016	0.011	0.038	0.014	0.006	0.016	0.015	0.126	0.003	0.439	0	0.284	0.032	0
Dryocopus_pileatus	0	0	0	0.193	0	0.135	0	0	0	0.671	0	0	0	0
