captive	diet	realm	flight
Merops_apiaster	wild	Invertebrates	Afrotropical	flighted
Merops_boehmi	wild	Invertebrates	Afrotropical	flighted
Merops_pusillus	wild	Invertebrates	Afrotropical	flighted
Centropus_senegalensis	wild	Meat	Afrotropical	flighted
Centropus_superciliosus	wild	Invertebrates	Afrotropical	flighted
Hieraaetus_wahlbergi	wild	Meat	Afrotropical	flighted
Coracina_pectoralis	wild	Invertebrates	Afrotropical	flighted
Camaroptera_brachyura	wild	Invertebrates	Afrotropical	flighted
Camaroptera_brevicaudata	wild	Invertebrates	Afrotropical	flighted
Cisticola_erythrops	wild	Invertebrates	Afrotropical	flighted
Estrilda_astrild	wild	Plants	Afrotropical	flighted
Estrilda_melanotis	wild	Plants	Afrotropical	flighted
Hypargos_niveoguttatus	wild	Plants	Afrotropical	flighted
Lagonosticta_rhodopareia	wild	Plants	Afrotropical	flighted
Lagonosticta_rubricata	wild	Plants	Afrotropical	flighted
